#Instrument,Date,Time,Record Type,Price,Volume,Undisclosed Volume,Value,Qualifiers,Trans ID,Bid ID,Ask ID,Bid/Ask,Entry Time,Old Price,Old Volume,Buyer Broker ID,Seller Broker ID
JBH,20130510,10:04:09.657,AMEND,17.020,1067,,18160.34,,0,,6267643730648534898,A,09:46:58,17.030,1067,,150
JBH,20130510,10:04:09.663,DELETE,,,,,,0,6267643730648570291,,B,,,,366,
JBH,20130510,10:04:09.671,ENTER,17.420,89,0,1550.38,,0,6267643730648570294,,B,,,,366,
JBH,20130510,10:04:09.677,ENTER,17.420,125,0,2177.5,,0,6267643730648570296,,B,,,,366,
JBH,20130510,10:04:09.679,AMEND,17.030,1067,,18171.01,,0,,6267643730648534898,A,09:46:58,17.020,1067,,150
JBH,20130510,10:04:10.773,ENTER,17.380,82,0,1425.16,,0,6267643730648570336,,B,,,,203,
JBH,20130510,10:04:11.154,DELETE,,,,,,0,6267643730648570296,,B,,,,366,
JBH,20130510,10:04:11.154,ENTER,17.420,132,0,2299.44,,0,6267643730648570342,,B,,,,366,
JBH,20130510,10:04:11.156,AMEND,17.020,1067,,18160.34,,0,,6267643730648534898,A,09:46:58,17.030,1067,,150
JBH,20130510,10:04:11.160,AMEND,17.030,1067,,18171.01,,0,,6267643730648534898,A,09:46:58,17.020,1067,,150
JBH,20130510,10:04:11.161,DELETE,,,,,,0,6267643730648570294,,B,,,,366,
JBH,20130510,10:04:11.161,AMEND,17.420,96,,1672.32,,0,6267643730648570342,,B,10:04:11,17.420,132,366,
JBH,20130510,10:04:11.164,AMEND,17.030,1037,,17660.11,,0,,6267643730648534898,A,09:46:58,17.030,1067,,150
JBH,20130510,10:04:11.168,DELETE,,,,,,0,6267643730648570253,,B,,,,366,
JBH,20130510,10:04:11.169,ENTER,17.420,148,0,2578.16,,0,6267643730648570349,,B,,,,366,
JBH,20130510,10:04:11.169,AMEND,17.020,1037,,17649.74,,0,,6267643730648534898,A,09:46:58,17.030,1037,,150
JBH,20130510,10:04:11.173,AMEND,17.030,1037,,17660.11,,0,,6267643730648534898,A,09:46:58,17.020,1037,,150
JBH,20130510,10:04:11.176,AMEND,17.420,125,,2177.5,,0,6267643730648570349,,B,10:04:11,17.420,148,366,
JBH,20130510,10:04:11.181,ENTER,17.420,112,0,1951.04,,0,6267643730648570356,,B,,,,366,
